alg,prob,seed,estado,fe,mx,mot,sem_manifest
b1,ZDT3,0,ok,929,929,,False
b1,ZDT3,1,ok,929,929,,False
b1,ZDT3,10,ok,929,929,,False
b1,ZDT3,11,ok,929,929,,False
b1,ZDT3,13,ok,929,929,,False
b1,ZDT3,14,ok,929,929,,False
b1,ZDT3,15,ok,929,929,,False
b1,ZDT3,16,ok,929,929,,False
b1,ZDT3,18,ok,929,929,,False
b1,ZDT3,19,ok,929,929,,False
b1,ZDT3,2,ok,929,929,,False
b1,ZDT3,20,ok,929,929,,False
b1,ZDT3,21,ok,929,929,,False
b1,ZDT3,22,ok,929,929,,False
b1,ZDT3,23,ok,929,929,,False
b1,ZDT3,24,ok,929,929,,False
b1,ZDT3,25,ok,929,929,,False
b1,ZDT3,26,ok,929,929,,False
b1,ZDT3,27,ok,929,929,,False
b1,ZDT3,28,ok,929,929,,False
b1,ZDT3,3,ok,929,929,,False
b1,ZDT3,4,ok,929,929,,False
b1,ZDT3,42,ok,929,929,,False
b1,ZDT3,5,ok,929,929,,False
b1,ZDT3,6,ok,929,929,,False
b1,ZDT3,7,ok,929,929,,False
b1,ZDT3,8,ok,929,929,,False
b1,ZDT3,9,ok,929,929,,False
b1,ZDT4,0,ok,309,309,,False
b1,ZDT4,1,ok,309,309,,False
b1,ZDT4,10,ok,309,309,,False
b1,ZDT4,11,ok,309,309,,False
b1,ZDT4,12,ok,309,309,,False
b1,ZDT4,13,ok,309,309,,False
b1,ZDT4,14,ok,309,309,,False
b1,ZDT4,15,ok,309,309,,False
b1,ZDT4,16,ok,309,309,,False
b1,ZDT4,17,ok,309,309,,False
b1,ZDT4,18,ok,309,309,,False
b1,ZDT4,19,ok,309,309,,False
b1,ZDT4,2,ok,309,309,,False
b1,ZDT4,20,ok,309,309,,False
b1,ZDT4,21,ok,309,309,,False
b1,ZDT4,22,ok,309,309,,False
b1,ZDT4,23,ok,309,309,,False
b1,ZDT4,24,ok,309,309,,False
b1,ZDT4,25,ok,309,309,,False
b1,ZDT4,26,ok,309,309,,False
b1,ZDT4,27,ok,309,309,,False
b1,ZDT4,28,ok,309,309,,False
b1,ZDT4,3,ok,309,309,,False
b1,ZDT4,4,ok,309,309,,False
b1,ZDT4,42,ok,309,309,,False
b1,ZDT4,5,ok,309,309,,False
b1,ZDT4,6,ok,309,309,,False
b1,ZDT4,7,ok,309,309,,False
b1,ZDT4,8,ok,309,309,,False
b1,ZDT4,9,ok,309,309,,False
b1,ZDT6,0,ok,309,309,,False
b1,ZDT6,1,ok,309,309,,False
b1,ZDT6,10,ok,309,309,,False
b1,ZDT6,11,ok,309,309,,False
b1,ZDT6,12,ok,309,309,,False
b1,ZDT6,13,ok,309,309,,False
b1,ZDT6,14,ok,309,309,,False
b1,ZDT6,15,ok,309,309,,False
b1,ZDT6,16,ok,309,309,,False
b1,ZDT6,17,ok,309,309,,False
b1,ZDT6,18,ok,309,309,,False
b1,ZDT6,19,ok,309,309,,False
b1,ZDT6,2,ok,309,309,,False
b1,ZDT6,20,ok,309,309,,False
b1,ZDT6,21,ok,309,309,,False
b1,ZDT6,22,ok,309,309,,False
b1,ZDT6,23,ok,309,309,,False
b1,ZDT6,24,ok,309,309,,False
b1,ZDT6,25,ok,309,309,,False
b1,ZDT6,26,ok,309,309,,False
b1,ZDT6,27,ok,309,309,,False
b1,ZDT6,28,ok,309,309,,False
b1,ZDT6,3,ok,309,309,,False
b1,ZDT6,4,ok,309,309,,False
b1,ZDT6,42,ok,309,309,,False
b1,ZDT6,5,ok,309,309,,False
b1,ZDT6,6,ok,309,309,,False
b1,ZDT6,7,ok,309,309,,False
b1,ZDT6,8,ok,309,309,,False
b1,ZDT6,9,ok,309,309,,False
b3,BBOB_F1,0,ok,309,309,,False
b3,BBOB_F1,1,ok,309,309,,False
b3,BBOB_F1,10,ok,309,309,,False
b3,BBOB_F1,11,ok,309,309,,False
b3,BBOB_F1,12,ok,309,309,,False
b3,BBOB_F1,13,ok,309,309,,False
b3,BBOB_F1,14,ok,309,309,,False
b3,BBOB_F1,15,ok,309,309,,False
b3,BBOB_F1,16,ok,309,309,,False
b3,BBOB_F1,17,ok,309,309,,False
b3,BBOB_F1,18,ok,309,309,,False
b3,BBOB_F1,19,ok,309,309,,False
b3,BBOB_F1,2,ok,309,309,,False
b3,BBOB_F1,20,ok,309,309,,False
b3,BBOB_F1,21,ok,309,309,,False
b3,BBOB_F1,22,ok,309,309,,False
b3,BBOB_F1,23,ok,309,309,,False
b3,BBOB_F1,24,ok,309,309,,False
b3,BBOB_F1,25,ok,309,309,,False
b3,BBOB_F1,26,ok,309,309,,False
b3,BBOB_F1,27,ok,309,309,,False
b3,BBOB_F1,28,ok,309,309,,False
b3,BBOB_F1,3,ok,309,309,,False
b3,BBOB_F1,4,ok,309,309,,False
b3,BBOB_F1,42,ok,309,309,,False
b3,BBOB_F1,5,ok,309,309,,False
b3,BBOB_F1,6,ok,309,309,,False
b3,BBOB_F1,7,ok,309,309,,False
b3,BBOB_F1,8,ok,309,309,,False
b3,BBOB_F1,9,ok,309,309,,False
b3,BBOB_F17,0,ok,309,309,,False
b3,BBOB_F17,1,ok,309,309,,False
b3,BBOB_F17,10,ok,309,309,,False
b3,BBOB_F17,11,ok,309,309,,False
b3,BBOB_F17,12,ok,309,309,,False
b3,BBOB_F17,13,ok,309,309,,False
b3,BBOB_F17,14,ok,309,309,,False
b3,BBOB_F17,15,ok,309,309,,False
b3,BBOB_F17,16,ok,309,309,,False
b3,BBOB_F17,17,ok,309,309,,False
b3,BBOB_F17,18,ok,309,309,,False
b3,BBOB_F17,19,ok,309,309,,False
b3,BBOB_F17,2,ok,309,309,,False
b3,BBOB_F17,20,ok,309,309,,False
b3,BBOB_F17,21,ok,309,309,,False
b3,BBOB_F17,22,ok,309,309,,False
b3,BBOB_F17,23,ok,309,309,,False
b3,BBOB_F17,24,ok,309,309,,False
b3,BBOB_F17,25,ok,309,309,,False
b3,BBOB_F17,26,ok,309,309,,False
b3,BBOB_F17,27,ok,309,309,,False
b3,BBOB_F17,28,ok,309,309,,False
b3,BBOB_F17,3,ok,309,309,,False
b3,BBOB_F17,4,ok,309,309,,False
b3,BBOB_F17,42,ok,309,309,,False
b3,BBOB_F17,5,ok,309,309,,False
b3,BBOB_F17,6,ok,309,309,,False
b3,BBOB_F17,7,ok,309,309,,False
b3,BBOB_F17,8,ok,309,309,,False
b3,BBOB_F17,9,ok,309,309,,False
b3,BBOB_F22,0,ok,309,309,,False
b3,BBOB_F22,1,ok,309,309,,False
b3,BBOB_F22,10,ok,309,309,,False
b3,BBOB_F22,11,ok,309,309,,False
b3,BBOB_F22,12,ok,309,309,,False
b3,BBOB_F22,13,ok,309,309,,False
b3,BBOB_F22,14,ok,309,309,,False
b3,BBOB_F22,15,ok,309,309,,False
b3,BBOB_F22,16,ok,309,309,,False
b3,BBOB_F22,17,ok,309,309,,False
b3,BBOB_F22,18,ok,309,309,,False
b3,BBOB_F22,19,ok,309,309,,False
b3,BBOB_F22,2,ok,309,309,,False
b3,BBOB_F22,20,ok,309,309,,False
b3,BBOB_F22,21,ok,309,309,,False
b3,BBOB_F22,22,ok,309,309,,False
b3,BBOB_F22,23,ok,309,309,,False
b3,BBOB_F22,24,ok,309,309,,False
b3,BBOB_F22,25,ok,309,309,,False
b3,BBOB_F22,26,ok,309,309,,False
b3,BBOB_F22,27,ok,309,309,,False
b3,BBOB_F22,28,ok,309,309,,False
b3,BBOB_F22,3,ok,309,309,,False
b3,BBOB_F22,4,ok,309,309,,False
b3,BBOB_F22,42,ok,309,309,,False
b3,BBOB_F22,5,ok,309,309,,False
b3,BBOB_F22,6,ok,309,309,,False
b3,BBOB_F22,7,ok,309,309,,False
b3,BBOB_F22,8,ok,309,309,,False
b3,BBOB_F22,9,ok,309,309,,False
b3,BBOB_F37,0,ok,309,309,,False
b3,BBOB_F37,1,ok,309,309,,False
b3,BBOB_F37,10,ok,309,309,,False
b3,BBOB_F37,11,ok,309,309,,False
b3,BBOB_F37,12,ok,309,309,,False
b3,BBOB_F37,13,ok,309,309,,False
b3,BBOB_F37,14,ok,309,309,,False
b3,BBOB_F37,15,ok,309,309,,False
b3,BBOB_F37,16,ok,309,309,,False
b3,BBOB_F37,17,ok,309,309,,False
b3,BBOB_F37,18,ok,309,309,,False
b3,BBOB_F37,19,ok,309,309,,False
b3,BBOB_F37,2,ok,309,309,,False
b3,BBOB_F37,20,ok,309,309,,False
b3,BBOB_F37,21,ok,309,309,,False
b3,BBOB_F37,22,ok,309,309,,False
b3,BBOB_F37,23,ok,309,309,,False
b3,BBOB_F37,24,ok,309,309,,False
b3,BBOB_F37,25,ok,309,309,,False
b3,BBOB_F37,26,ok,309,309,,False
b3,BBOB_F37,27,ok,309,309,,False
b3,BBOB_F37,28,ok,309,309,,False
b3,BBOB_F37,3,ok,309,309,,False
b3,BBOB_F37,4,ok,309,309,,False
b3,BBOB_F37,42,ok,309,309,,False
b3,BBOB_F37,5,ok,309,309,,False
b3,BBOB_F37,6,ok,309,309,,False
b3,BBOB_F37,7,ok,309,309,,False
b3,BBOB_F37,8,ok,309,309,,False
b3,BBOB_F37,9,ok,309,309,,False
b3,BBOB_F49,0,ok,309,309,,False
b3,BBOB_F49,1,ok,309,309,,False
b3,BBOB_F49,10,ok,309,309,,False
b3,BBOB_F49,11,ok,309,309,,False
b3,BBOB_F49,12,ok,309,309,,False
b3,BBOB_F49,13,ok,309,309,,False
b3,BBOB_F49,14,ok,309,309,,False
b3,BBOB_F49,15,ok,309,309,,False
b3,BBOB_F49,16,ok,309,309,,False
b3,BBOB_F49,17,ok,309,309,,False
b3,BBOB_F49,18,ok,309,309,,False
b3,BBOB_F49,19,ok,309,309,,False
b3,BBOB_F49,2,ok,309,309,,False
b3,BBOB_F49,20,ok,309,309,,False
b3,BBOB_F49,21,ok,309,309,,False
b3,BBOB_F49,22,ok,309,309,,False
b3,BBOB_F49,23,ok,309,309,,False
b3,BBOB_F49,24,ok,309,309,,False
b3,BBOB_F49,25,ok,309,309,,False
b3,BBOB_F49,26,ok,309,309,,False
b3,BBOB_F49,27,ok,309,309,,False
b3,BBOB_F49,28,ok,309,309,,False
b3,BBOB_F49,3,ok,309,309,,False
b3,BBOB_F49,4,ok,309,309,,False
b3,BBOB_F49,42,ok,309,309,,False
b3,BBOB_F49,5,ok,309,309,,False
b3,BBOB_F49,6,ok,309,309,,False
b3,BBOB_F49,7,ok,309,309,,False
b3,BBOB_F49,8,ok,309,309,,False
b3,BBOB_F49,9,ok,309,309,,False
b3,BBOB_F5,0,ok,309,309,,False
b3,BBOB_F5,1,ok,309,309,,False
b3,BBOB_F5,10,ok,309,309,,False
b3,BBOB_F5,11,ok,309,309,,False
b3,BBOB_F5,12,ok,309,309,,False
b3,BBOB_F5,13,ok,309,309,,False
b3,BBOB_F5,14,ok,309,309,,False
b3,BBOB_F5,15,ok,309,309,,False
b3,BBOB_F5,16,ok,309,309,,False
b3,BBOB_F5,17,ok,309,309,,False
b3,BBOB_F5,18,ok,309,309,,False
b3,BBOB_F5,19,ok,309,309,,False
b3,BBOB_F5,2,ok,309,309,,False
b3,BBOB_F5,20,ok,309,309,,False
b3,BBOB_F5,21,ok,309,309,,False
b3,BBOB_F5,22,ok,309,309,,False
b3,BBOB_F5,23,ok,309,309,,False
b3,BBOB_F5,24,ok,309,309,,False
b3,BBOB_F5,25,ok,309,309,,False
b3,BBOB_F5,26,ok,309,309,,False
b3,BBOB_F5,27,ok,309,309,,False
b3,BBOB_F5,28,ok,309,309,,False
b3,BBOB_F5,3,ok,309,309,,False
b3,BBOB_F5,4,ok,309,309,,False
b3,BBOB_F5,42,ok,309,309,,False
b3,BBOB_F5,5,ok,309,309,,False
b3,BBOB_F5,6,ok,309,309,,False
b3,BBOB_F5,7,ok,309,309,,False
b3,BBOB_F5,8,ok,309,309,,False
b3,BBOB_F5,9,ok,309,309,,False
b3,BBOB_F55,0,ok,309,309,,False
b3,BBOB_F55,1,ok,309,309,,False
b3,BBOB_F55,10,ok,309,309,,False
b3,BBOB_F55,11,ok,309,309,,False
b3,BBOB_F55,12,ok,309,309,,False
b3,BBOB_F55,13,ok,309,309,,False
b3,BBOB_F55,14,ok,309,309,,False
b3,BBOB_F55,15,ok,309,309,,False
b3,BBOB_F55,16,ok,309,309,,False
b3,BBOB_F55,17,ok,309,309,,False
b3,BBOB_F55,18,ok,309,309,,False
b3,BBOB_F55,19,ok,309,309,,False
b3,BBOB_F55,2,ok,309,309,,False
b3,BBOB_F55,20,ok,309,309,,False
b3,BBOB_F55,21,ok,309,309,,False
b3,BBOB_F55,22,ok,309,309,,False
b3,BBOB_F55,23,ok,309,309,,False
b3,BBOB_F55,24,ok,309,309,,False
b3,BBOB_F55,25,ok,309,309,,False
b3,BBOB_F55,26,ok,309,309,,False
b3,BBOB_F55,27,ok,309,309,,False
b3,BBOB_F55,28,ok,309,309,,False
b3,BBOB_F55,3,ok,309,309,,False
b3,BBOB_F55,4,ok,309,309,,False
b3,BBOB_F55,42,ok,309,309,,False
b3,BBOB_F55,5,ok,309,309,,False
b3,BBOB_F55,6,ok,309,309,,False
b3,BBOB_F55,7,ok,309,309,,False
b3,BBOB_F55,8,ok,309,309,,False
b3,BBOB_F55,9,ok,309,309,,False
b3,DTLZ1,0,ok,216,216,,False
b3,DTLZ1,1,ok,216,216,,False
b3,DTLZ1,10,ok,216,216,,False
b3,DTLZ1,11,ok,216,216,,False
b3,DTLZ1,12,ok,216,216,,False
b3,DTLZ1,13,ok,216,216,,False
b3,DTLZ1,14,ok,216,216,,False
b3,DTLZ1,15,ok,216,216,,False
b3,DTLZ1,16,ok,216,216,,False
b3,DTLZ1,17,ok,216,216,,False
b3,DTLZ1,18,ok,216,216,,False
b3,DTLZ1,19,ok,216,216,,False
b3,DTLZ1,2,ok,216,216,,False
b3,DTLZ1,20,ok,216,216,,False
b3,DTLZ1,21,ok,216,216,,False
b3,DTLZ1,22,ok,216,216,,False
b3,DTLZ1,23,ok,216,216,,False
b3,DTLZ1,24,ok,216,216,,False
b3,DTLZ1,25,ok,216,216,,False
b3,DTLZ1,26,ok,216,216,,False
b3,DTLZ1,27,ok,216,216,,False
b3,DTLZ1,28,ok,216,216,,False
b3,DTLZ1,3,ok,216,216,,False
b3,DTLZ1,4,ok,216,216,,False
b3,DTLZ1,42,ok,216,216,,False
b3,DTLZ1,5,ok,216,216,,False
b3,DTLZ1,6,ok,216,216,,False
b3,DTLZ1,7,ok,216,216,,False
b3,DTLZ1,8,ok,216,216,,False
b3,DTLZ1,9,ok,216,216,,False
b3,DTLZ2,0,ok,371,371,,False
b3,DTLZ2,1,ok,371,371,,False
b3,DTLZ2,10,ok,371,371,,False
b3,DTLZ2,11,ok,371,371,,False
b3,DTLZ2,12,ok,371,371,,False
b3,DTLZ2,13,ok,371,371,,False
b3,DTLZ2,14,ok,371,371,,False
b3,DTLZ2,15,ok,371,371,,False
b3,DTLZ2,16,ok,371,371,,False
b3,DTLZ2,17,ok,371,371,,False
b3,DTLZ2,18,ok,371,371,,False
b3,DTLZ2,19,ok,371,371,,False
b3,DTLZ2,2,ok,371,371,,False
b3,DTLZ2,20,ok,371,371,,False
b3,DTLZ2,21,ok,371,371,,False
b3,DTLZ2,22,ok,371,371,,False
b3,DTLZ2,23,ok,371,371,,False
b3,DTLZ2,24,ok,371,371,,False
b3,DTLZ2,25,ok,371,371,,False
b3,DTLZ2,26,ok,371,371,,False
b3,DTLZ2,27,ok,371,371,,False
b3,DTLZ2,28,ok,371,371,,False
b3,DTLZ2,3,ok,371,371,,False
b3,DTLZ2,4,ok,371,371,,False
b3,DTLZ2,42,ok,371,371,,False
b3,DTLZ2,5,ok,371,371,,False
b3,DTLZ2,6,ok,371,371,,False
b3,DTLZ2,7,ok,371,371,,False
b3,DTLZ2,8,ok,371,371,,False
b3,DTLZ2,9,ok,371,371,,False
b3,DTLZ3,0,ok,371,371,,False
b3,DTLZ3,1,ok,371,371,,False
b3,DTLZ3,10,ok,371,371,,False
b3,DTLZ3,11,ok,371,371,,False
b3,DTLZ3,12,ok,371,371,,False
b3,DTLZ3,13,ok,371,371,,False
b3,DTLZ3,14,ok,371,371,,False
b3,DTLZ3,15,ok,371,371,,False
b3,DTLZ3,16,ok,371,371,,False
b3,DTLZ3,17,ok,371,371,,False
b3,DTLZ3,18,ok,371,371,,False
b3,DTLZ3,19,ok,371,371,,False
b3,DTLZ3,2,ok,371,371,,False
b3,DTLZ3,20,ok,371,371,,False
b3,DTLZ3,21,ok,371,371,,False
b3,DTLZ3,22,ok,371,371,,False
b3,DTLZ3,23,ok,371,371,,False
b3,DTLZ3,24,ok,371,371,,False
b3,DTLZ3,25,ok,371,371,,False
b3,DTLZ3,26,ok,371,371,,False
b3,DTLZ3,27,ok,371,371,,False
b3,DTLZ3,28,ok,371,371,,False
b3,DTLZ3,3,ok,371,371,,False
b3,DTLZ3,4,ok,371,371,,False
b3,DTLZ3,42,ok,371,371,,False
b3,DTLZ3,5,ok,371,371,,False
b3,DTLZ3,6,ok,371,371,,False
b3,DTLZ3,7,ok,371,371,,False
b3,DTLZ3,8,ok,371,371,,False
b3,DTLZ3,9,ok,371,371,,False
b3,DTLZ4,0,ok,371,371,,False
b3,DTLZ4,1,ok,371,371,,False
b3,DTLZ4,10,ok,371,371,,False
b3,DTLZ4,11,ok,371,371,,False
b3,DTLZ4,12,ok,371,371,,False
b3,DTLZ4,13,ok,371,371,,False
b3,DTLZ4,14,ok,371,371,,False
b3,DTLZ4,15,ok,371,371,,False
b3,DTLZ4,16,ok,371,371,,False
b3,DTLZ4,17,ok,371,371,,False
b3,DTLZ4,18,ok,371,371,,False
b3,DTLZ4,19,ok,371,371,,False
b3,DTLZ4,2,ok,371,371,,False
b3,DTLZ4,20,ok,371,371,,False
b3,DTLZ4,21,ok,371,371,,False
b3,DTLZ4,22,ok,371,371,,False
b3,DTLZ4,23,ok,371,371,,False
b3,DTLZ4,24,ok,371,371,,False
b3,DTLZ4,25,ok,371,371,,False
b3,DTLZ4,26,ok,371,371,,False
b3,DTLZ4,27,ok,371,371,,False
b3,DTLZ4,28,ok,371,371,,False
b3,DTLZ4,3,ok,371,371,,False
b3,DTLZ4,4,ok,371,371,,False
b3,DTLZ4,42,ok,371,371,,False
b3,DTLZ4,5,ok,371,371,,False
b3,DTLZ4,6,ok,371,371,,False
b3,DTLZ4,7,ok,371,371,,False
b3,DTLZ4,8,ok,371,371,,False
b3,DTLZ4,9,ok,371,371,,False
b3,DTLZ7,0,ok,681,681,,False
b3,DTLZ7,1,ok,681,681,,False
b3,DTLZ7,10,ok,681,681,,False
b3,DTLZ7,11,ok,681,681,,False
b3,DTLZ7,12,ok,681,681,,False
b3,DTLZ7,13,ok,681,681,,False
b3,DTLZ7,14,ok,681,681,,False
b3,DTLZ7,15,ok,681,681,,False
b3,DTLZ7,16,ok,681,681,,False
b3,DTLZ7,17,ok,681,681,,False
b3,DTLZ7,18,ok,681,681,,False
b3,DTLZ7,19,ok,681,681,,False
b3,DTLZ7,2,ok,681,681,,False
b3,DTLZ7,20,ok,681,681,,False
b3,DTLZ7,21,ok,681,681,,False
b3,DTLZ7,22,ok,681,681,,False
b3,DTLZ7,23,ok,681,681,,False
b3,DTLZ7,24,ok,681,681,,False
b3,DTLZ7,25,ok,681,681,,False
b3,DTLZ7,26,ok,681,681,,False
b3,DTLZ7,27,ok,681,681,,False
b3,DTLZ7,28,ok,681,681,,False
b3,DTLZ7,3,ok,681,681,,False
b3,DTLZ7,4,ok,681,681,,False
b3,DTLZ7,42,ok,681,681,,False
b3,DTLZ7,5,ok,681,681,,False
b3,DTLZ7,6,ok,681,681,,False
b3,DTLZ7,7,ok,681,681,,False
b3,DTLZ7,8,ok,681,681,,False
b3,DTLZ7,9,ok,681,681,,False
b3,MMF1,0,ok,61,61,,False
b3,MMF1,1,ok,61,61,,False
b3,MMF1,10,ok,61,61,,False
b3,MMF1,11,ok,61,61,,False
b3,MMF1,12,ok,61,61,,False
b3,MMF1,13,ok,61,61,,False
b3,MMF1,14,ok,61,61,,False
b3,MMF1,15,ok,61,61,,False
b3,MMF1,16,ok,61,61,,False
b3,MMF1,17,ok,61,61,,False
b3,MMF1,18,ok,61,61,,False
b3,MMF1,19,ok,61,61,,False
b3,MMF1,2,ok,61,61,,False
b3,MMF1,20,ok,61,61,,False
b3,MMF1,21,ok,61,61,,False
b3,MMF1,22,ok,61,61,,False
b3,MMF1,23,ok,61,61,,False
b3,MMF1,24,ok,61,61,,False
b3,MMF1,25,ok,61,61,,False
b3,MMF1,26,ok,61,61,,False
b3,MMF1,27,ok,61,61,,False
b3,MMF1,28,ok,61,61,,False
b3,MMF1,3,ok,61,61,,False
b3,MMF1,4,ok,61,61,,False
b3,MMF1,42,ok,61,61,,False
b3,MMF1,5,ok,61,61,,False
b3,MMF1,6,ok,61,61,,False
b3,MMF1,7,ok,61,61,,False
b3,MMF1,8,ok,61,61,,False
b3,MMF1,9,ok,61,61,,False
b3,MMF11_L,0,ok,61,61,,False
b3,MMF11_L,1,ok,61,61,,False
b3,MMF11_L,10,ok,61,61,,False
b3,MMF11_L,11,ok,61,61,,False
b3,MMF11_L,12,ok,61,61,,False
b3,MMF11_L,13,ok,61,61,,False
b3,MMF11_L,14,ok,61,61,,False
b3,MMF11_L,15,ok,61,61,,False
b3,MMF11_L,16,ok,61,61,,False
b3,MMF11_L,17,ok,61,61,,False
b3,MMF11_L,18,ok,61,61,,False
b3,MMF11_L,19,ok,61,61,,False
b3,MMF11_L,2,ok,61,61,,False
b3,MMF11_L,20,ok,61,61,,False
b3,MMF11_L,21,ok,61,61,,False
b3,MMF11_L,22,ok,61,61,,False
b3,MMF11_L,23,ok,61,61,,False
b3,MMF11_L,24,ok,61,61,,False
b3,MMF11_L,25,ok,61,61,,False
b3,MMF11_L,26,ok,61,61,,False
b3,MMF11_L,27,ok,61,61,,False
b3,MMF11_L,28,ok,61,61,,False
b3,MMF11_L,3,ok,61,61,,False
b3,MMF11_L,4,ok,61,61,,False
b3,MMF11_L,42,ok,61,61,,False
b3,MMF11_L,5,ok,61,61,,False
b3,MMF11_L,6,ok,61,61,,False
b3,MMF11_L,7,ok,61,61,,False
b3,MMF11_L,8,ok,61,61,,False
b3,MMF11_L,9,ok,61,61,,False
b3,MMF16_20,0,ok,619,619,,False
b3,MMF16_20,1,ok,619,619,,False
b3,MMF16_20,10,ok,619,619,,False
b3,MMF16_20,11,ok,619,619,,False
b3,MMF16_20,12,ok,619,619,,False
b3,MMF16_20,13,ok,619,619,,False
b3,MMF16_20,14,ok,619,619,,False
b3,MMF16_20,15,ok,619,619,,False
b3,MMF16_20,16,ok,619,619,,False
b3,MMF16_20,17,ok,619,619,,False
b3,MMF16_20,18,ok,619,619,,False
b3,MMF16_20,19,ok,619,619,,False
b3,MMF16_20,2,ok,619,619,,False
b3,MMF16_20,20,ok,619,619,,False
b3,MMF16_20,21,ok,619,619,,False
b3,MMF16_20,22,ok,619,619,,False
b3,MMF16_20,23,ok,619,619,,False
b3,MMF16_20,24,ok,619,619,,False
b3,MMF16_20,25,ok,619,619,,False
b3,MMF16_20,26,ok,619,619,,False
b3,MMF16_20,27,ok,619,619,,False
b3,MMF16_20,28,ok,619,619,,False
b3,MMF16_20,3,ok,619,619,,False
b3,MMF16_20,4,ok,619,619,,False
b3,MMF16_20,42,ok,619,619,,False
b3,MMF16_20,5,ok,619,619,,False
b3,MMF16_20,6,ok,619,619,,False
b3,MMF16_20,7,ok,619,619,,False
b3,MMF16_20,8,ok,619,619,,False
b3,MMF16_20,9,ok,619,619,,False
b3,MMF4,0,ok,61,61,,False
b3,MMF4,1,ok,61,61,,False
b3,MMF4,10,ok,61,61,,False
b3,MMF4,11,ok,61,61,,False
b3,MMF4,12,ok,61,61,,False
b3,MMF4,13,ok,61,61,,False
b3,MMF4,14,ok,61,61,,False
b3,MMF4,15,ok,61,61,,False
b3,MMF4,16,ok,61,61,,False
b3,MMF4,17,ok,61,61,,False
b3,MMF4,18,ok,61,61,,False
b3,MMF4,19,ok,61,61,,False
b3,MMF4,2,ok,61,61,,False
b3,MMF4,20,ok,61,61,,False
b3,MMF4,21,ok,61,61,,False
b3,MMF4,22,ok,61,61,,False
b3,MMF4,23,ok,61,61,,False
b3,MMF4,24,ok,61,61,,False
b3,MMF4,25,ok,61,61,,False
b3,MMF4,26,ok,61,61,,False
b3,MMF4,27,ok,61,61,,False
b3,MMF4,28,ok,61,61,,False
b3,MMF4,3,ok,61,61,,False
b3,MMF4,4,ok,61,61,,False
b3,MMF4,42,ok,61,61,,False
b3,MMF4,5,ok,61,61,,False
b3,MMF4,6,ok,61,61,,False
b3,MMF4,7,ok,61,61,,False
b3,MMF4,8,ok,61,61,,False
b3,MMF4,9,ok,61,61,,False
b3,WFG1,0,ok,681,681,,False
b3,WFG1,1,ok,681,681,,False
b3,WFG1,10,ok,681,681,,False
b3,WFG1,11,ok,681,681,,False
b3,WFG1,12,ok,681,681,,False
b3,WFG1,13,ok,681,681,,False
b3,WFG1,14,ok,681,681,,False
b3,WFG1,15,ok,681,681,,False
b3,WFG1,16,ok,681,681,,False
b3,WFG1,17,ok,681,681,,False
b3,WFG1,18,ok,681,681,,False
b3,WFG1,19,ok,681,681,,False
b3,WFG1,2,ok,681,681,,False
b3,WFG1,20,ok,681,681,,False
b3,WFG1,21,ok,681,681,,False
b3,WFG1,22,ok,681,681,,False
b3,WFG1,23,ok,681,681,,False
b3,WFG1,24,ok,681,681,,False
b3,WFG1,25,ok,681,681,,False
b3,WFG1,26,ok,681,681,,False
b3,WFG1,27,ok,681,681,,False
b3,WFG1,28,ok,681,681,,False
b3,WFG1,3,ok,681,681,,False
b3,WFG1,4,ok,681,681,,False
b3,WFG1,42,ok,681,681,,False
b3,WFG1,5,ok,681,681,,False
b3,WFG1,6,ok,681,681,,False
b3,WFG1,7,ok,681,681,,False
b3,WFG1,8,ok,681,681,,False
b3,WFG1,9,ok,681,681,,False
b3,WFG2,0,ok,681,681,,False
b3,WFG2,1,ok,681,681,,False
b3,WFG2,10,ok,681,681,,False
b3,WFG2,11,ok,681,681,,False
b3,WFG2,12,ok,681,681,,False
b3,WFG2,13,ok,681,681,,False
b3,WFG2,14,ok,681,681,,False
b3,WFG2,15,ok,681,681,,False
b3,WFG2,16,ok,681,681,,False
b3,WFG2,17,ok,681,681,,False
b3,WFG2,18,ok,681,681,,False
b3,WFG2,19,ok,681,681,,False
b3,WFG2,2,ok,681,681,,False
b3,WFG2,20,ok,681,681,,False
b3,WFG2,21,ok,681,681,,False
b3,WFG2,22,ok,681,681,,False
b3,WFG2,23,ok,681,681,,False
b3,WFG2,24,ok,681,681,,False
b3,WFG2,25,ok,681,681,,False
b3,WFG2,26,ok,681,681,,False
b3,WFG2,27,ok,681,681,,False
b3,WFG2,28,ok,681,681,,False
b3,WFG2,3,ok,681,681,,False
b3,WFG2,4,ok,681,681,,False
b3,WFG2,42,ok,681,681,,False
b3,WFG2,5,ok,681,681,,False
b3,WFG2,6,ok,681,681,,False
b3,WFG2,7,ok,681,681,,False
b3,WFG2,8,ok,681,681,,False
b3,WFG2,9,ok,681,681,,False
b3,WFG4,0,ok,681,681,,False
b3,WFG4,1,ok,681,681,,False
b3,WFG4,10,ok,681,681,,False
b3,WFG4,11,ok,681,681,,False
b3,WFG4,12,ok,681,681,,False
b3,WFG4,13,ok,681,681,,False
b3,WFG4,14,ok,681,681,,False
b3,WFG4,15,ok,681,681,,False
b3,WFG4,16,ok,681,681,,False
b3,WFG4,17,ok,681,681,,False
b3,WFG4,18,ok,681,681,,False
b3,WFG4,19,ok,681,681,,False
b3,WFG4,2,ok,681,681,,False
